row_id,x,y,accuracy,time,place_id
112,2.236,1.3655,66,623174,7663031065
180,2.2003,1.2541,65,610195,2358558474
367,2.4108,1.3213,74,579667,6644108708
874,2.0822,1.1973,320,143566,3229876087
1022,2.016,1.1659,65,207993,3244363975
1045,2.3859,1.166,498,503378,6438240873
1070,2.0568,1.0406,7,480804,4255947450
1332,2.0819,1.0337,18,168595,7954125509
1632,2.3992,1.254,175,311410,2077754908
2205,2.0455,1.3258,70,579464,5992403068
3309,2.2188,1.2726,61,705163,6215057357
3933,2.0638,1.0326,136,705106,4255947450
4559,2.3518,1.3858,158,689945,7021063988
6477,2.2643,1.0703,61,521348,7929669489
6553,2.2252,1.4169,167,388126,7278590122
6631,2.4092,1.3542,69,221968,1536494374
6722,2.282,1.3561,156,666068,8074414179
6745,2.3096,1.2559,1,686344,9773056775
7364,2.426,1.1818,66,211515,6396652784
7490,2.0709,1.118,952,442642,4110044452
7584,2.0984,1.1603,65,739592,9764078387
8892,2.3307,1.3149,6,144749,5883398718
9027,2.075,1.2689,70,401002,3076556383
9608,2.4677,1.0455,66,91670,5033348570
9769,2.4445,1.1329,74,459222,8670584806
9947,2.0944,1.4606,69,226209,2074133146
10420,2.42,1.3164,660,84562,6644108708
10507,2.4896,1.2593,62,185131,7871954785
10679,2.0218,1.179,56,181286,2082127512
11048,2.1451,1.0297,14,184213,2725217975
11248,2.4522,1.1257,65,12340,3588028567
11432,2.4387,1.4974,161,542557,4466033869
12228,2.2479,1.045,62,43735,7810150060
12369,2.3222,1.1749,74,209611,4861093827
12483,2.2454,1.1972,47,299675,3974542317
12996,2.4819,1.0124,4,383923,1663763627
14338,2.2613,1.1744,298,222953,1031277804
14827,2.3551,1.3269,45,571233,8099882727
15762,2.0189,1.3705,26,693948,2494678001
15822,2.0758,1.2271,61,375597,8158973166
15938,2.1073,1.2441,52,583352,1380291167
16014,2.4748,1.264,2,327756,7871954785
16300,2.2213,1.0121,47,403879,3044053043
16316,2.3584,1.1746,149,483178,4861093827
16420,2.223,1.4081,69,780713,7312457461
16661,2.4229,1.1874,165,171222,6396652784
16704,2.3328,1.1961,66,31949,3657826277
16872,2.0426,1.0454,67,89656,6709409787
17549,2.4111,1.1696,12,572028,6438240873
18601,2.0453,1.1439,163,481221,6505686905
18969,2.3373,1.4355,68,601563,7600299291
19209,2.1835,1.1144,151,317724,1732563460
19876,2.0231,1.0527,1,708018,3380753307
19993,2.4252,1.3616,53,569665,1536494374
20188,2.4071,1.0105,55,359627,1663763627
20401,2.3173,1.263,64,726154,2585551753
20430,2.4906,1.1191,68,652945,7086049158
20510,2.2159,1.3428,45,97083,9935755425
21093,2.0601,1.0788,61,457420,4336717042
